                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0389,                 3.7912,                 2.1899,                0.00365,                0.53894,                0.02831,                0.00695,                 2.0395,                 4.6241,                 2.4502,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.8132,                  3.578,                 1.9149,                0.04249,                0.53272,                 0.0859,                0.04126,                 1.8357,                 4.9213,                  2.287,             0.00021011,             0.00021011,             0.00021011
                      3,                 1.4922,                 3.3137,                 1.6835,                0.01643,                0.77097,                0.07726,                 0.0228,                 1.7637,                 4.3765,                 2.1057,             0.00031565,             0.00031565,             0.00031565
                      4,                 1.6286,                 3.3199,                 1.8679,                0.01705,                0.86398,                0.17609,                0.07863,                 1.5694,                 4.0467,                 1.9916,             0.00041668,             0.00041668,             0.00041668
                      5,                 1.7321,                 3.2027,                  1.749,                0.01731,                0.81528,                0.28575,                0.14107,                 1.6405,                 4.1179,                 2.1662,             0.00051317,             0.00051317,             0.00051317
                      6,                 1.6367,                 3.0324,                 1.8223,                0.00504,                 0.6927,                0.22505,                0.10343,                 1.6358,                 4.2348,                 2.1339,             0.00060514,             0.00060514,             0.00060514
                      7,                 1.6783,                 2.7466,                 1.7323,                 0.0053,                0.85937,                0.26187,                0.07495,                 1.8356,                 4.1388,                 2.2491,             0.00069258,             0.00069258,             0.00069258
                      8,                 1.6069,                  2.724,                 1.6942,                0.00494,                0.88195,                 0.2822,                0.09768,                 1.5776,                 4.0288,                 1.7674,             0.00077549,             0.00077549,             0.00077549
                      9,                 1.5177,                 2.6989,                 1.6618,                0.00507,                0.84969,                0.16461,                0.06936,                 1.7338,                 3.9691,                 2.1755,             0.00085388,             0.00085388,             0.00085388
                     10,                 1.8098,                 2.4034,                 1.7703,                0.00428,                0.70668,                0.13691,                 0.0431,                 2.3403,                 4.4841,                 2.6937,             0.00092774,             0.00092774,             0.00092774
                     11,                 1.6406,                 2.2995,                 1.7162,                0.91827,                0.03226,                0.29504,                0.12069,                 2.3961,                 4.0162,                 3.3356,             0.00099707,             0.00099707,             0.00099707
                     12,                 1.5852,                  2.326,                 1.6673,                0.76526,                0.16436,                0.20604,                0.12642,                 2.5331,                 4.2508,                 3.3551,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.6728,                 2.4455,                 1.7372,                0.69025,                0.09063,                0.13399,                0.07604,                 2.0067,                 3.9543,                 2.6415,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.4916,                 2.1158,                  1.571,                0.42402,                0.08579,                0.20476,                0.09379,                 2.5067,                 3.5755,                 2.8831,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.6795,                 2.5109,                 1.7927,                0.42513,                0.24186,                0.25884,                0.12294,                 2.0068,                 3.9389,                 2.3497,              0.0010329,              0.0010329,              0.0010329
                     16,                  1.522,                 2.1069,                 1.5919,                0.41191,                0.31813,                0.31475,                0.16277,                 1.6953,                 3.7035,                 2.1246,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.4065,                  2.433,                 1.6196,                0.27473,                0.33379,                0.31155,                0.13523,                 1.8781,                 3.6665,                 2.3159,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.5061,                 2.1321,                 1.6175,                0.44843,                 0.1977,                0.20001,                0.09451,                 2.3298,                 4.2489,                 2.8375,               0.000948,               0.000948,               0.000948
                     19,                 1.5756,                 2.0112,                 1.6164,                0.42889,                0.16674,                0.16997,                 0.0821,                 2.6733,                 3.9468,                 3.9116,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.3838,                 2.0294,                 1.5203,                0.39792,                0.22691,                0.22832,                0.08378,                 2.0003,                 3.7454,                   2.53,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.5377,                 2.1122,                 1.6273,                0.43802,                0.30252,                0.23557,                0.09624,                 1.6901,                 3.8728,                 2.0612,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.4967,                 1.9646,                 1.6067,                0.37368,                0.31519,                0.29335,                0.09894,                 2.2199,                 3.8248,                 2.6903,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.4752,                 1.9219,                 1.6291,                0.50399,                0.33732,                0.32604,                0.12533,                  2.183,                 3.5184,                 2.4415,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.4283,                 1.8287,                 1.5383,                0.40655,                 0.3447,                0.28763,                0.12569,                 1.5226,                 3.6528,                 1.8233,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.4812,                  1.892,                 1.5762,                0.25189,                0.46974,                0.25492,                0.10348,                 1.4392,                  3.311,                 1.7402,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.4212,                 1.9166,                 1.5084,                0.34994,                0.44173,                0.28168,                0.11821,                 1.7031,                 3.0661,                  2.047,             0.00072164,             0.00072164,             0.00072164
                     27,                  1.337,                  1.829,                  1.446,                0.49147,                0.33054,                0.32476,                0.17396,                 1.6703,                 3.0963,                 2.2744,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.3732,                  1.799,                 1.4825,                0.52826,                0.48216,                0.40538,                0.20757,                 1.7835,                 2.8141,                 2.3231,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.3383,                 1.6515,                 1.4493,                0.42836,                0.52542,                0.41702,                0.21623,                 1.7072,                   2.71,                 2.2064,             0.00063676,             0.00063676,             0.00063676
                     30,                  1.426,                 1.8073,                 1.5661,                0.41994,                0.64347,                0.47645,                0.21953,                 1.7664,                 3.0478,                 2.1857,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.3099,                 1.6056,                 1.4249,                0.49324,                0.62197,                0.48949,                0.23294,                 1.5617,                 3.8104,                 2.0562,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.3306,                 1.6504,                 1.5288,                0.57865,                0.43327,                0.51955,                0.26396,                 1.5972,                 3.0081,                 2.0438,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.1926,                   1.65,                 1.3747,                0.69197,                0.48412,                0.58899,                0.27229,                 1.4746,                 2.5068,                 1.9679,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.2648,                 1.6625,                 1.4081,                0.63445,                0.47374,                 0.5158,                0.22594,                 1.5714,                 3.2855,                 1.9937,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.1847,                  1.527,                 1.3492,                0.52628,                 0.4669,                0.46307,                0.20849,                 1.6457,                 3.5736,                 2.0758,               0.000467,               0.000467,               0.000467
                     36,                 1.2105,                 1.5578,                 1.3698,                0.78096,                0.39725,                0.54571,                0.28148,                 1.6521,                 2.2552,                 2.0335,              0.0004387,              0.0004387,              0.0004387
                     37,                  1.426,                 1.7199,                 1.6952,                0.58701,                0.53441,                0.56381,                0.30423,                 1.5436,                 2.1218,                 1.8505,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.3055,                 1.6033,                 1.4692,                0.59971,                0.60648,                0.60387,                0.33663,                 1.5337,                 2.0645,                 1.8966,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.2876,                 1.4916,                  1.388,                0.62907,                 0.6423,                 0.6318,                  0.329,                 1.5855,                  2.012,                 2.0623,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0895,                 1.5642,                 1.3469,                0.61392,                0.62179,                0.61263,                 0.3111,                 1.5381,                 2.1583,                 2.0311,             0.00032553,             0.00032553,             0.00032553
                     41,                  1.306,                 2.6085,                 1.5239,                0.58304,                 0.5266,                0.57681,                0.26853,                 1.7443,                 2.3812,                 2.1033,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.1647,                 1.6036,                 1.3289,                0.54911,                 0.4967,                0.48602,                0.21079,                 1.7406,                 2.9601,                 2.0899,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0945,                 1.4944,                 1.2644,                0.68396,                0.46927,                 0.5338,                 0.2276,                 1.7185,                 2.9626,                 2.0483,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.2898,                 1.5584,                 1.4946,                0.79563,                0.48758,                0.59173,                0.31561,                 1.4687,                 2.0606,                 1.8876,             0.00021235,             0.00021235,             0.00021235
                     45,                   1.24,                 1.6814,                 1.6494,                0.73136,                0.57979,                0.63849,                0.32328,                 1.4512,                 1.9071,                 1.8126,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.2261,                 1.7088,                 1.4042,                0.70498,                0.55325,                0.66656,                0.35356,                 1.4627,                 1.8084,                 1.8036,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.0465,                 1.5224,                 1.2911,                0.75228,                0.55745,                0.67416,                 0.3637,                 1.4455,                 1.7949,                 1.7742,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.0706,                 1.4158,                 1.3734,                0.70592,                0.58032,                0.66482,                0.36341,                 1.4065,                 1.7901,                 1.7251,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.93754,                 1.3126,                 1.2225,                0.71421,                0.54562,                0.67941,                0.36788,                  1.401,                 1.7594,                 1.7044,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.0713,                 1.4617,                 1.4003,                0.69133,                0.56229,                 0.6715,                 0.3701,                  1.396,                 1.7447,                  1.705,             4.2584e-05,             4.2584e-05,             4.2584e-05
